user_id,photo_id,created_at,updated_at,vote_type
20,201,"2016-04-21 19:12:18.636221","2016-04-21 19:12:18.636221",1
21,201,"2016-04-21 19:12:18.648697","2016-04-21 19:12:18.648697",1
22,201,"2016-04-21 19:12:18.670217","2016-04-21 19:12:18.670217",1
23,201,"2016-04-21 19:12:18.678936","2016-04-21 19:12:18.678936",1
24,201,"2016-04-21 19:12:18.687917","2016-04-21 19:12:18.687917",1
25,201,"2016-04-21 19:12:18.696861","2016-04-21 19:12:18.696861",1
26,201,"2016-04-21 19:12:18.705861","2016-04-21 19:12:18.705861",1
27,201,"2016-04-21 19:12:18.721453","2016-04-21 19:12:18.721453",1
28,201,"2016-04-21 19:12:18.730956","2016-04-21 19:12:18.730956",1
29,201,"2016-04-21 19:12:18.740429","2016-04-21 19:12:18.740429",1
30,201,"2016-04-21 19:12:18.753406","2016-04-21 19:12:18.753406",1
31,201,"2016-04-21 19:12:18.762488","2016-04-21 19:12:18.762488",1
32,201,"2016-04-21 19:12:18.772096","2016-04-21 19:12:18.772096",1
33,201,"2016-04-21 19:12:18.780832","2016-04-21 19:12:18.780832",1
34,201,"2016-04-21 19:12:18.802007","2016-04-21 19:12:18.802007",1
35,201,"2016-04-21 19:12:18.816212","2016-04-21 19:12:18.816212",1
36,201,"2016-04-21 19:12:18.839779","2016-04-21 19:12:18.839779",1
20,202,"2016-04-21 19:12:18.853039","2016-04-21 19:12:18.853039",1
21,202,"2016-04-21 19:12:18.868224","2016-04-21 19:12:18.868224",1
22,202,"2016-04-21 19:12:18.877111","2016-04-21 19:12:18.877111",1
23,202,"2016-04-21 19:12:18.886049","2016-04-21 19:12:18.886049",1
24,202,"2016-04-21 19:12:18.894784","2016-04-21 19:12:18.894784",1
25,202,"2016-04-21 19:12:18.903286","2016-04-21 19:12:18.903286",1
26,202,"2016-04-21 19:12:18.911795","2016-04-21 19:12:18.911795",1
27,202,"2016-04-21 19:12:18.922060","2016-04-21 19:12:18.922060",1
28,202,"2016-04-21 19:12:18.931442","2016-04-21 19:12:18.931442",1
29,202,"2016-04-21 19:12:18.950298","2016-04-21 19:12:18.950298",1
30,202,"2016-04-21 19:12:18.959722","2016-04-21 19:12:18.959722",1
31,202,"2016-04-21 19:12:18.968802","2016-04-21 19:12:18.968802",1
32,202,"2016-04-21 19:12:18.978257","2016-04-21 19:12:18.978257",1
33,202,"2016-04-21 19:12:18.986989","2016-04-21 19:12:18.986989",1
34,202,"2016-04-21 19:12:18.996644","2016-04-21 19:12:18.996644",1
35,202,"2016-04-21 19:12:19.012104","2016-04-21 19:12:19.012104",1
36,202,"2016-04-21 19:12:19.022203","2016-04-21 19:12:19.022203",1
20,203,"2016-04-21 19:12:19.031134","2016-04-21 19:12:19.031134",1
21,203,"2016-04-21 19:12:19.045866","2016-04-21 19:12:19.045866",1
22,203,"2016-04-21 19:12:19.061137","2016-04-21 19:12:19.061137",1
23,203,"2016-04-21 19:12:19.079174","2016-04-21 19:12:19.079174",1
24,203,"2016-04-21 19:12:19.093984","2016-04-21 19:12:19.093984",1
25,203,"2016-04-21 19:12:19.103174","2016-04-21 19:12:19.103174",1
26,203,"2016-04-21 19:12:19.112783","2016-04-21 19:12:19.112783",1
27,203,"2016-04-21 19:12:19.128344","2016-04-21 19:12:19.128344",1
28,203,"2016-04-21 19:12:19.138335","2016-04-21 19:12:19.138335",1
29,203,"2016-04-21 19:12:19.153912","2016-04-21 19:12:19.153912",1
30,203,"2016-04-21 19:12:19.165659","2016-04-21 19:12:19.165659",1
31,203,"2016-04-21 19:12:19.180494","2016-04-21 19:12:19.180494",1
32,203,"2016-04-21 19:12:19.200983","2016-04-21 19:12:19.200983",1
33,203,"2016-04-21 19:12:19.210124","2016-04-21 19:12:19.210124",1
34,203,"2016-04-21 19:12:19.219375","2016-04-21 19:12:19.219375",1
35,203,"2016-04-21 19:12:19.229179","2016-04-21 19:12:19.229179",1
36,203,"2016-04-21 19:12:19.238378","2016-04-21 19:12:19.238378",1
20,204,"2016-04-21 19:12:19.247314","2016-04-21 19:12:19.247314",1
21,204,"2016-04-21 19:12:19.256198","2016-04-21 19:12:19.256198",1
22,204,"2016-04-21 19:12:19.265172","2016-04-21 19:12:19.265172",1
23,204,"2016-04-21 19:12:19.275783","2016-04-21 19:12:19.275783",1
24,204,"2016-04-21 19:12:19.290818","2016-04-21 19:12:19.290818",1
25,204,"2016-04-21 19:12:19.300729","2016-04-21 19:12:19.300729",1
26,204,"2016-04-21 19:12:19.309832","2016-04-21 19:12:19.309832",1
27,204,"2016-04-21 19:12:19.320406","2016-04-21 19:12:19.320406",1
28,204,"2016-04-21 19:12:19.329641","2016-04-21 19:12:19.329641",1
29,204,"2016-04-21 19:12:19.339462","2016-04-21 19:12:19.339462",1
30,204,"2016-04-21 19:12:19.348894","2016-04-21 19:12:19.348894",1
31,204,"2016-04-21 19:12:19.357806","2016-04-21 19:12:19.357806",1
32,204,"2016-04-21 19:12:19.384933","2016-04-21 19:12:19.384933",1
33,204,"2016-04-21 19:12:19.394736","2016-04-21 19:12:19.394736",1
34,204,"2016-04-21 19:12:19.403666","2016-04-21 19:12:19.403666",1
35,204,"2016-04-21 19:12:19.412469","2016-04-21 19:12:19.412469",1
36,204,"2016-04-21 19:12:19.421706","2016-04-21 19:12:19.421706",1
20,205,"2016-04-21 19:12:19.431728","2016-04-21 19:12:19.431728",1
21,205,"2016-04-21 19:12:19.441052","2016-04-21 19:12:19.441052",1
22,205,"2016-04-21 19:12:19.450951","2016-04-21 19:12:19.450951",1
23,205,"2016-04-21 19:12:19.462928","2016-04-21 19:12:19.462928",1
24,205,"2016-04-21 19:12:19.471778","2016-04-21 19:12:19.471778",1
25,205,"2016-04-21 19:12:19.480865","2016-04-21 19:12:19.480865",1
26,205,"2016-04-21 19:12:19.489869","2016-04-21 19:12:19.489869",1
27,205,"2016-04-21 19:12:19.505901","2016-04-21 19:12:19.505901",1
28,205,"2016-04-21 19:12:19.514653","2016-04-21 19:12:19.514653",1
29,205,"2016-04-21 19:12:19.523729","2016-04-21 19:12:19.523729",1
30,205,"2016-04-21 19:12:19.532717","2016-04-21 19:12:19.532717",1
31,205,"2016-04-21 19:12:19.542493","2016-04-21 19:12:19.542493",1
32,205,"2016-04-21 19:12:19.557891","2016-04-21 19:12:19.557891",1
33,205,"2016-04-21 19:12:19.567062","2016-04-21 19:12:19.567062",1
34,205,"2016-04-21 19:12:19.581851","2016-04-21 19:12:19.581851",1
35,205,"2016-04-21 19:12:19.607672","2016-04-21 19:12:19.607672",1
36,205,"2016-04-21 19:12:19.616502","2016-04-21 19:12:19.616502",1
20,206,"2016-04-21 19:12:19.625840","2016-04-21 19:12:19.625840",1
21,206,"2016-04-21 19:12:19.635273","2016-04-21 19:12:19.635273",1
22,206,"2016-04-21 19:12:19.644622","2016-04-21 19:12:19.644622",1
23,206,"2016-04-21 19:12:19.655153","2016-04-21 19:12:19.655153",1
24,206,"2016-04-21 19:12:19.667688","2016-04-21 19:12:19.667688",1
25,206,"2016-04-21 19:12:19.683961","2016-04-21 19:12:19.683961",1
26,206,"2016-04-21 19:12:19.700350","2016-04-21 19:12:19.700350",1
27,206,"2016-04-21 19:12:19.710263","2016-04-21 19:12:19.710263",1
28,206,"2016-04-21 19:12:19.719223","2016-04-21 19:12:19.719223",1
29,206,"2016-04-21 19:12:19.729248","2016-04-21 19:12:19.729248",1
30,206,"2016-04-21 19:12:19.738335","2016-04-21 19:12:19.738335",1
31,206,"2016-04-21 19:12:19.747060","2016-04-21 19:12:19.747060",1
32,206,"2016-04-21 19:12:19.755981","2016-04-21 19:12:19.755981",1
33,206,"2016-04-21 19:12:19.764750","2016-04-21 19:12:19.764750",1
34,206,"2016-04-21 19:12:19.773562","2016-04-21 19:12:19.773562",1
35,206,"2016-04-21 19:12:19.782276","2016-04-21 19:12:19.782276",1
36,206,"2016-04-21 19:12:19.794408","2016-04-21 19:12:19.794408",1
20,207,"2016-04-21 19:12:19.803202","2016-04-21 19:12:19.803202",1
21,207,"2016-04-21 19:12:19.812841","2016-04-21 19:12:19.812841",1
22,207,"2016-04-21 19:12:19.829446","2016-04-21 19:12:19.829446",1
23,207,"2016-04-21 19:12:19.839098","2016-04-21 19:12:19.839098",1
24,207,"2016-04-21 19:12:19.848224","2016-04-21 19:12:19.848224",1
25,207,"2016-04-21 19:12:19.857179","2016-04-21 19:12:19.857179",1
26,207,"2016-04-21 19:12:19.866304","2016-04-21 19:12:19.866304",1
27,207,"2016-04-21 19:12:19.875194","2016-04-21 19:12:19.875194",1
28,207,"2016-04-21 19:12:19.884068","2016-04-21 19:12:19.884068",1
29,207,"2016-04-21 19:12:19.893540","2016-04-21 19:12:19.893540",1
30,207,"2016-04-21 19:12:19.908297","2016-04-21 19:12:19.908297",1
